,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
162,1299,Blue Strap, Regular,Noise Thrive,1.85,Yes
164,1299,Pink Strap, Free Size,iConnect by,1.85,No
168,1799,Elite Silver Strap, Regular,Noise Crew,1.39,Yes
169,1199,Active Black Strap, Free Size,boAt Lunar,1.85,Yes
173,999,Black Strap, Free Size,"alt Hunk,",1.96,Yes
178,1499,Black Strap, Free Size,Fire-Boltt Destiny,35.3,No
182,1799,Coal Black Strap, Free Size,Boult Mirage,1.39,Yes
183,999,Electric Black Strap, Free Size,beatXP Marv,1.96,Yes
184,1099,Snow Leather Strap, Free Size,Boult Cosmic,1.3,Yes
185,1199,Gold Strap, Free Size,Gamesir S9,1.85,Yes
188,1799,Active Black Strap, Regular,Noise Icon,1.78,Yes
189,1999,Black Strap, Free Size,Fastrack FR1|1.39,1.39,No
192,999,Ice Silver Strap, Free Size,beatXP Sigma,1.38,Yes
193,1799,Black Strap, Free Size,Fire-Boltt Ultimate,35.3,No
194,1799,Black Strap, Regular,Noise Fuse,1.43,Yes
195,1399,Green Strap, Regular,Noise Loop,1.85,No
198,1349,Black Strap, Free Size,boAt Wave,1.85,Yes
199,999,Ice Silver Strap, Free Size,beatXP Marv,1.85,Yes
202,879,Black Strap, Regular,Ocean I,1.85,No
203,699,Orange Strap, Free Size,FEEL FLON,1.85,No
204,664,Black Strap, Free Size,BEST BOOST,1.85,No
205,388,Black Strap, FREE SIZE,Clonezo MAX_ID116,1.85,No
209,719,Black Titanium Strap, 1.89 Inch,Plextone Trending,1.85,Yes
212,699,Black Strap, Free Size,Dude T800,1.85,No
213,590,Orange Strap, FREE SIZE,TIGFANTER T800,1.99,No
214,664,Black Strap, Free Size,Dude T800,1.9,No
218,569,Black Strap, Free,IMSZZ i8,1.85,No
222,546,Black Strap, Free Size,TECHMAZE T500,1.85,Yes
223,333,White Strap, Free,MVS Digital,1.85,No
224,749,Black Strap, Free,Tunifi T800,1.85,Yes
225,897,Black Strap, Regular,Axxe DZ09,1.85,No
228,879,Brown Strap, Regular,Medulla DZ09,1.85,No
229,1249,black Strap, Free Size,XYZ COLLECTION,1.85,Yes
232,1244,Black Strap, Free Size,VYGHA COLLECTION,1.85,No
233,799,Black Strap, Free,PunnkFunnk T30,1.85,No
234,699,Black Strap, Free Size,PLUS ORSON,1.85,No
235,676,Black Strap, Free Size,VYGHA COLLECTION,1.85,No
238,299,White Strap, M,MVS Multicolor,1.85,No
239,833,Black Strap, Regular,Sai Collections,1.85,No
242,849,Black Strap, Free Size,CALLIE a1,1.85,No
243,708,black Strap, Free Size,SAMSTAR COLLECTION,1.85,No
244,899,Blue Strap, free,Lastpoint Mobile,1.85,No
248,740,black Strap, Free Size,PS COLLECTION,1.85,No
249,699,Orange Strap, Free Size,firetouch Smart,1.85,No
252,999,Black Strap, Free,I bond,1.85,No
253,210,Black Strap, 22,isa creators,1.85,No
255,1049,Black Strap, free,MOBIMOX smart,1.85,No
258,897,Black Strap, Free size,Canvalls Certified,1.85,No
259,1415,Pink Strap, Free Size,P U,1.85,Yes
262,649,Black Strap, REGULAR,STROMBUCKS Bluetooth,1.85,No
265,630,Pink Strap, Free Size,Wyltron Bluetooth,1.85,Yes
268,299,Maroon Strap, M,MVS MVS,1.85,No
269,331,MULTICOLOR Strap, kids,KYOKA Led,1.85,No
272,879,Brown Strap,Brown Strap,Eleganz A2,1.85,No
273,759,Free size,Free size,HLMT Teenagers,1.85,No
274,269,Pink Strap, All,iSmart 69,1.85,No
275,879,Black Strap, XL,ETN PKY_759V,1.85,No
278,699,Black Strap, Free Size,BEAT IT,1.85,No
279,1489,Pink Strap, Free Size,VYGHA COLLECTION,1.85,No
283,1399,Grey Strap, Free Size,Fire-Boltt Ninja,46.5,Yes
284,1699,Grey Blue Strap, 1.78,Fire-Boltt Hulk,45.2,Yes
285,1799,Dark Grey Strap, Free Size,Fire-Boltt Apollo,36.3,No
288,1099,Rose Pink Strap, Regular,Noise Caliber,1.69,No
289,1599,Pink Strap, Regular,Fire-Boltt Talk,35.3,No
292,999,Champagne Gold Strap, Free Size,beatXP Nexus,1.78,No
295,1599,LuxeSilver Strap, Free Size,Boult Crown,1.95,Yes
298,999,Black Strap, Free Size,Dr Trust,1.85,No
303,1299,Regal Gold Strap, Free Size,beatXP Vega,1.43,Yes
305,1699,Green Strap, Free Size,Fire-Boltt Sphere,40.6,No
308,1499,Pure Black Strap, Free Size,Boult CrownX,2.0,Yes
309,1199,Electric Black Strap, Free Size,beatXP Flux,1.45,Yes
312,1699,Black-C Strap, Free Size,Fire-Boltt Spectre,33.5,No
315,999,Electric Black Strap, Free Size,beatXP Nexus,1.78,No
318,1799,Beige Strap, Free Size,Pebble Cosmos,1.91,Yes
319,499,Orange Strap, 49,SGG Smart,1.85,No
322,1449,Pink Strap, Free Size,SAMSTAR COLLECTION,1.85,No
323,740,Black Strap, Free Size,VINEWORD T800,1.85,No
324,899,Black Strap, Regular,888 S_3,1.85,No
328,999,Silver Strap, Regular,CREATION4U DZ09-418,1.85,No
329,269,Green Strap, All,iSmart 66,1.85,No
332,879,Silver Strap, One Size,proffesso dz09,1.85,No
333,467,Black Strap, Free,Ykarn Trades,1.85,No
334,539,black Strap, free size,SM Enterprises,1.85,No
335,1371,Pink Strap, Free Size,SAMSTAR COLLECTION,1.85,No
338,687,Black Strap, Free Size,Dude T800,1.85,No
339,654,Black Strap, Free Size,Yash Enterprises,1.85,No
342,999,Black Strap, free size,Triangle Ant,1.85,No
343,697,Black Strap, 1.99 Inch,SHRI NETRA,1.85,No
344,669,Black Strap, Free Size,TEXOVICT T800,1.85,No
345,330,NA Strap, Mens,RHYLOZ Digital,1.85,No
348,750,Black Strap, Free Size,P U,1.85,Yes
352,1386,Pink Strap, Free Size,VYGHA COLLECTION,1.85,No
355,879,Silver Strap, Free Size,EasyShop DZ09,1.85,No
358,879,Silver Strap, Standard,Kwitech DZ09,1.85,No
359,697,Orange Strap, 1.99 Inch,SHRI NETRA,1.85,No
362,1499,Deep Purple Strap, Free Size,boAt Lunar,1.52,No
363,1699,Active Black Strap, Free Size,Fire-Boltt Sphere,40.6,No
364,1599,Teal Strap, 46,Fire-Boltt Talk,35.3,Yes
368,1199,Cool Grey Strap, Free Size,boAt Lunar,1.85,Yes
369,709,Pink Strap, 1.75 Inch Full Screen Display,Gamesir I8,1.85,No
373,1399,Pink Strap, Regular,Noise Crew,1.38,Yes
374,1999,Silver Strap, Free Size,Cult Active,1.52,No
375,1799,Blue Strap, Free Size,Fastrack Fastrack,1.85,No
378,999,Ice Silver Strap, Free Size,beatXP Marv,2.01,Yes
379,1499,Blue Strap, Regular,Noise Fit,1.32,No
382,1099,Dark Blue Strap, Free Size,Boult Cosmic,1.3,Yes
383,1399,Red Strap, Regular,Noise Colorfit,1.8,No
385,1699,Red Strap, Free Size,boAt Storm,1.78,Yes
392,1299,Red Chrome Strap, Free Size,Boult Striker,1.85,No
394,1499,Metal Blue Strap, Free Size,Boult Trail,2.01,No
395,1299,Peach Strap, Free Size,Boult Drift,1.69,Yes
399,1799,Black Strap, Free Size,Fire-Boltt Shark,46.5,No
402,1499,Beige Strap, Free Size,Fire-Boltt Destiny,35.3,No
403,1449,Black Strap, 46*39*11.8 MM,Boston Levin,1.85,No
404,1699,Black Link Strap, Regular,Noise Crew,1.39,Yes
405,1449,Pink Gold Strap, 46*39*11.8 MM,Boston Levin,1.85,No
408,1099,Champagne Gold Strap, Free Size,beatXP Marv,1.96,Yes
409,1599,Gold Black O Strap, Free Size,Fire-Boltt Gladiator,49.7,No
412,1599,Black Link Strap, Regular,Noise Crew,1.38,Yes
413,340,Multicolor Strap, Free Size,Tarido Teenagers,1.85,No
415,1799,Black Strap, Regular,Ambrane Wise,1.78,No
416,1999,Black Strap, Free Size,Urban Revolt,1.85,Yes
418,1499,Burgundy Strap, Free Size,boAt Wave,1.96,Yes
422,1299,Satin Silver Strap, Free Size,beatXP Evoke,1.43,No
423,1999,Blue Strap, Free Size,Fire-Boltt Supernova,45.2,No
425,999,Satin Silver Strap, Free Size,beatXP Nuke,1.32,Yes
428,1799,Gold SS Strap, 1.39,Fire-Boltt Ninja,35.3,No
432,1499,Orange Strap, Free Size,Fire-Boltt Gladiator,49.7,No
433,1299,Sage Green Strap, Free Size,boAt Force,1.96,Yes
434,622,Orange Strap, Free Size,Chirag Traders,1.85,No
435,749,Black Strap, Free Size,PunnkFunnk T500,1.85,Yes
437,718,Pink Strap, Regular & office Wear,WTG i8,1.54,Yes
438,1599,Blue Strap, 1.75,DIZO Watch,1.75,No
443,1699,Yellow Strap, Onesize,Fire-Boltt Cyclone,40.6,No
444,1399,Champagne Gold Strap, Free Size,Fire-Boltt Hunter,51.1,No
445,1549,Silver Metal Strap, Free Size,boAt Storm,1.85,No
448,530,Black Strap, Free Size,Neeraj Traders,1.85,No
449,589,Orange Strap, For All,NIKHILX T800,1.85,No
452,1199,Blue Strap, Free Size,boAt Lunar,1.85,Yes
453,1749,Brown Strap, Free Size,boAt Storm,1.78,Yes
454,1699,Black Strap, Free Size,Fire-Boltt Spectre,33.5,No
455,1399,Brown Strap, Regular,Noise Caliber,1.85,No
458,1399,Grey Strap, 2.01Inch,Fire-Boltt Ninja,51.1,No
462,699,Black Strap, Free Size,BOOMLY T800,1.85,No
463,595,Black Strap, Free Size,Gunjan Sales,1.85,No
464,799,Black Strap, Regular Wear,WTG T500,1.92,Yes
465,1799,Brown Strap, Regular,Noise Fuse,1.43,Yes
468,620,Orange Strap, Free Size,zora T800,1.85,No
469,595,Black Strap, Free Size,BOOMLY T800,1.85,No
472,1599,Gold-M Strap, Free Size,Fire-Boltt Lumos,48.5,No
473,582,Black Strap, Free Size,Arceus T800,1.85,No
475,920,gold Strap, 45,dicrobots Ultra,1.85,No
482,860,Black Strap, Regular,DigiMart DM,1.85,No
483,795,Black Strap, Free,Gazzet 4G,1.85,No
484,664,Orange Strap, Free Size,firetouch T800,1.85,No
485,299,White Strap, M,MVS Digital,1.85,No
488,899,Black Strap, Free Size,CALLIE zo9,1.85,No
489,1199,Black Strap, Free Size,Bastex BT,1.85,No
492,879,Brown Strap, Regular,Ocean I,1.85,No
493,899,Silver Strap, Regular,WONDERWORLD ™,1.85,No
494,849,Black Strap, Regular,WOKIT A1-341,1.85,No
495,879,Black Strap,Black Strap,NOOSY DZ-09-9,1.85,No
498,806,Black Strap, Free,Rock A1,1.85,Yes
503,992,Black Strap, Regular,CREATION4U DZ09-283,1.85,No
504,879,Black Strap, XL,ETN XSO_939Q,1.85,No
505,712,Black Strap, Free Size,NSP STORE,1.85,No
