,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
853,1229,Pink Strap, Free Size,PS COLLECTION,1.85,No
854,398,Black Strap, FREE SIZE,Clonezo ULTRA_ID116,1.85,No
858,1399,multicolour Strap, 10,EVAAENTERPRISES 7,1.85,No
859,719,Grey Strap, 49,SGG Smart,1.85,No
862,999,Black Strap, 5,UnV DZ09,1.85,No
863,683,Pink Strap, 1.75 Inch Full Screen Display,Gamesir I8,1.85,No
864,1299,multicolour Strap, 10,EVAAENTERPRISES 7,1.85,No
865,1259,Pink Strap, Free size,MORDEN SOS,1.85,No
872,1899,pink Strap, free size,SLITY Smartwatch,1.85,No
873,619,black Strap, free size,SM Enterprises,1.85,No
874,664,Black Strap, Free Size,zdea T900,1.85,No
875,372,Black Strap, FREE,Ykarn Trades,1.85,No
878,815,Black Strap, Free Size,SIACART DZ09,1.85,No
879,799,Black Strap, Free Size,SSN Global,1.85,No
882,601,Pink Strap, Free Size,S.K. TRADERS,1.85,No
883,599,Black Strap, Free,JUUP T800,1.85,No
884,650,Orange Strap, Free Size,Allum T800,1.85,No
885,1333,Multicolor Strap, Free Size,Veritas Enterprises,1.85,No
888,711,Black Strap, 1.99,Melbon T800,1.85,No
889,379,Black Strap, Free,Ykarn Trades,1.85,No
892,649,Black Strap, Free Size,ROBB STARK,1.69,Yes
893,875,Gold Strap, Free Size,TECHMAZE Golden,1.85,No
894,699,Regal Strap, ALL,RICH POLO,1.85,No
898,1699,Grey Strap, Free Size,Gamesir Active,1.85,No
899,759,Orange, Free size (Adjustable strap),EverydayEssentials T900,1.85,No
902,584,Black Strap, Free,Twixxle T500,1.85,No
903,533,Orange Strap, Free,YAROH NMM_496A_T800,1.85,No
905,898,Gold, Free Size,Nikki Trades,1.85,No
908,397,Black Strap, Free,VIGIL ID116,1.3,No
909,1499,Multicolour Strap, 49,OXILAG Combo,1.85,No
912,949,Golden Strap, 49,OXILAG Golden,2.19,No
914,691,Black Strap, 1.75,Priyansh I7,1.85,No
915,1599,Multicolor Strap, Free Size,Gamesir H20,1.85,No
917,664,BLACK Strap, Free Size,Wyltron T55,1.85,No
918,599,Silver Strap, FREE,NIKHILX XS8,1.85,No
925,849,Gold Strap, 2.0 INCH DISPLAY,MTR AVATAR,1.85,No
929,963,Orange Strap, Free Size,RECTITUDE T900,2.09,No
932,499,Green Strap, All,iSmart 25,1.85,No
933,569,Black Strap, FREE SIZE,TIGFANTER T800,1.85,No
934,795,Black Strap, free,Raysx Smartwatch,1.85,No
938,849,Black Strap, Free size,ALONZO A1,1.85,No
939,1779,White Strap, Free Size,PS COLLECTION,1.85,No
942,1599,Gold Strap, 1,iSmart 17,1.85,No
943,879,Brown Strap, Regular,SD SD,1.85,No
944,999,Brown Strap, Regular,IBS GOLDEN,1.85,No
952,327,MULTICOLOR Strap, KIDS,KYOKA Led,1.85,No
953,367,Pink Strap, M,Time Up,1.85,No
954,639,Black Strap, For All,FLIPZONE T800,1.85,No
958,740,Orange Strap, For All,NSP STORE,1.85,No
963,1389,Pink Strap, Free Size,VYGHA COLLECTION,1.85,Yes
964,479,Black Strap, FREE SIZE,KPM IDS116,1.85,No
968,1699,Pink Strap, Free Size,PS COLLECTION,1.85,No
969,329,MULTICOLOR Strap, KIDS,windexa Led,1.85,No
970,1399,Black Strap, Free Size,Boult Crown,1.95,Yes
975,664,Black Strap, Free Size,maxphony T800,1.85,No
979,740,white Strap, Free Size,SAMSTAR COLLECTION,1.85,No
982,879,Brown Strap, Regular,Shan SHN-,1.85,No
983,1889,Grey Strap, Free Size,Rat Bold,1.85,Yes
984,999,Black Strap, 1,iSmart Women,1.85,No
985,879,Gold Strap, Regular,DEEP GLOBAL,1.85,No
987,1399,Yellow Strap, Free Size,Boult Crown,1.95,Yes
992,1549,Black Strap, Free Size,PS COLLECTION,1.85,No
993,549,black Strap, Free Size,SAMSTAR COLLECTION,1.85,No
998,879,Black Strap, Regular,Medulla MD,1.85,No
