,Price,Strap_color,Size_fits,Brand_Name,Screen_Size,Calling_System
96,1399,Peach fuzz Strap, Free Size,Boult Drift+,1.85,Yes
97,1399,Chrome Strap, Free Size,Boult Drift+,1.85,Yes
98,1499,cherry Blossom Strap, One Size,boAt Wave,2.01,No
99,1499,Blue Strap, Free Size,Fastrack Revoltt,2.01,No
100,1299,Cream Strap, Free Size,Boult Striker,,Yes
101,1399,Gunmetal Strap, Free Size,Boult Drift,1.69,Yes
102,1299,Grey Strap, Regular,Noise Thrive,1.85,Yes
103,1999,Gold Strap, Free Size,Fire-Boltt Blizzard,32.5,No
104,1299,Metal Black Strap, Free Size,Boult Striker,,Yes
105,1399,Green Strap, Regular,Noise Colorfit,1.8,No
106,2270,Silver Strap, Regular,AXL CZAR,1.81,No
107,1399,Black Strap, Standard,TXOR WAVE,,No
108,1299,Cherry Blossom Strap, Free Size,boAt Wave,1.83,No
109,1699,Black Strap, 1.78,Fire-Boltt Hulk,45.2,Yes
110,2041,Grey, Free Size,Voods V,1.85,Yes
111,2136,Black, Free Size,Voods V,2.01,No
112,1099,Green Strap, Free Size,boAt Wave,,Yes
113,1199,Ice Silver Strap, Free Size,beatXP Vega,1.43,Yes
114,1699,Gold Silver Strap, Free Size,Fire-Boltt Blizzard,32.5,No
115,1099,Green Strap, Regular,Noise Caliber,1.69,No
116,1999,Black Strap, Free Size,"PLAYFIT STRENGTH,",,No
117,1199,Beige Strap, Free Size,Fastrack Revoltt,1.83,Yes
118,1799,Elite Black Strap, Regular,Noise Crew,1.39,Yes
119,2199,Carbon Black Strap, Regular,Noise Evolve,1.43,No
120,1299,Black Strap, Free Size,Boult Drift,1.69,Yes
121,1399,Jet Black Strap, Free Size,Boult Drift+,1.85,Yes
122,2199,Black Strap, Regular,Noise Force,1.46,No
123,745,Black Strap, Regular Wear,WTG T500,1.92,Yes
124,2099,Silver Strap, Free Size,Fire-Boltt Brillia,51.3,No
125,1499,Electric Black Strap, Free Size,beatXP Evoke,1.43,No
126,1399,Black Coffee Strap, Free Size,Boult Drift+,1.85,Yes
127,1299,Green Strap, Free Size,Boult Drift,1.69,Yes
128,5499,Midnight Steel Strap, Free Size,Fire-Boltt Dream,,No
129,999,Electric Black Strap, Free Size,beatXP Duke,1.43,No
130,1299,Sand Black Strap, Free Size,Boult Drift,1.69,Yes
131,1999,Chrome Rig Strap, Free Size,Boult CrownR,1.43,Yes
132,1499,Blue Strap, Free Size,boAt Wave,1.83,No
133,2199,Midnight Gold Strap, Regular,Noise Icon,1.96,No
